"By providing your IBAN and confirming this payment, you authorise (A) %1 and Stripe, our payment service provider, to send instructions to your bank to debit your account and (B) your bank to debit your account in accordance with the instructions from %1 and Stripe. As part of your rights, you are entitled to a refund from your bank under the terms and conditions of your agreement with your bank. A refund must be claimed within 8 weeks starting from the date on which your account was debited.","Ich ermächtige/ Wir ermächtigen (A) %1, Zahlungen von meinem/ unserem Konto mittels Lastschrift einzuziehen. Zugleich (B) weise ich mein/ weisen wir unser Kreditinstitut an, die von %1 auf mein/ unser Konto gezogenen Lastschriften einzulösen. Hinweis: Ich kann/ Wir können innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem/ unserem Kreditinstitut vereinbarten Bedingungen."
"Enter your card details:","Kreditkartendaten eingeben:"
"Save card for future purchases","Für die spätere Bearbeitung speichern"
"My Saved Cards","Meine gespeicherten Karten"
"My Subscriptions","Meine Abonnements"
"Use a new card","Eine neue Kreditkarte verwenden"
"Add a new saved card","Fügen Sie eine neue gespeicherte Karte hinzu"
"Your card details are protected using PCI DSS v3.2 security standards.","Ihre Kartendaten werden durch PCI DSS v3.2-Sicherheitsstandards geschützt."
"You do not have any saved cards yet.","Sie haben noch keine gespeicherten Karten."
"You do not have any subscriptions yet.","Sie haben noch keine Abonnements."
"Card","Karte"
"Cards","Karten"
"Card **** %1 was added successfully.","Karte **** %1 wurde erfolgreich hinzugefügt."
"Card **** %1 has been deleted.","Karte **** %1 wurde gelöscht."